additive,aryl_halide,base,ligand,yield
22,12,2,3,10.65781182
22,11,2,3,14.7478961
22,13,2,3,18.27868619
22,7,2,3,2.475057616
22,6,2,3,6.119058475
22,8,2,3,5.449924218
22,4,2,3,7.802080337
22,3,2,3,14.23417841
22,5,2,3,15.41389344
22,9,2,3,9.46569581
22,1,2,3,15.23875818
22,14,2,3,19.59428889
22,10,2,3,7.787908452
22,2,2,3,9.677591971
22,15,2,3,13.17521743
22,12,1,3,14.01864146
22,11,1,3,30.5912617
22,13,1,3,38.15573638
22,7,1,3,0.456472494
22,6,1,3,3.867385769
22,8,1,3,7.024622197
22,4,1,3,2.84616447
22,3,1,3,18.8690087
22,5,1,3,25.0736586
22,9,1,3,21.66658644
22,1,1,3,48.48749388
22,14,1,3,58.61075678
22,10,1,3,4.169292721
22,2,1,3,11.38334579
22,15,1,3,24.41818234
22,12,3,3,14.96739578
22,11,3,3,30.28625472
22,13,3,3,39.57783871
22,7,3,3,0.339837285
22,6,3,3,3.12306153
22,8,3,3,5.140109821
22,4,3,3,3.920306162
22,3,3,3,15.39753007
22,5,3,3,22.45064906
22,9,3,3,23.68617418
22,1,3,3,42.69485888
22,14,3,3,54.83360857
22,10,3,3,6.351542297
22,2,3,3,14.16472216
22,15,3,3,17.378304
7,12,2,3,3.606676847
7,11,2,3,35.07866175
7,13,2,3,43.31814591
7,7,2,3,0.0
7,6,2,3,29.29817829
7,8,2,3,37.56535564
7,4,2,3,0.960810012
7,3,2,3,59.0196812
7,5,2,3,70.96873006
7,9,2,3,35.13952712
7,1,2,3,37.65445791
7,14,2,3,51.10248957
7,10,2,3,3.963450153
7,2,2,3,31.93031022
7,15,2,3,48.70823186
7,12,1,3,5.008760546
7,11,1,3,35.08872433
7,13,1,3,41.2456065
7,7,1,3,0.0
7,6,1,3,13.9769471
7,8,1,3,18.89524916
7,4,1,3,0.705195152
7,3,1,3,32.63234102
7,5,1,3,31.81837229
7,9,1,3,30.4254394
7,1,1,3,53.63578043
7,14,1,3,59.4767437
7,10,1,3,2.014671714
7,2,1,3,26.51352578
7,15,1,3,36.85037948
7,12,3,3,4.820162197
7,11,3,3,34.80628557
7,13,3,3,46.63249784
7,7,3,3,0.0
7,6,3,3,11.74218494
7,8,3,3,26.65189435
7,4,3,3,0.546829898
7,3,3,3,35.87055638
7,5,3,3,68.84449525
7,9,3,3,33.8754215
7,1,3,3,63.0697188
7,14,3,3,70.62989218
7,10,3,3,2.481415648
7,2,3,3,31.6780045
7,15,3,3,46.01420049
3,12,2,3,22.16644806
3,11,2,3,23.21156884
3,13,2,3,34.74876407
