Base_SMILES,Ligand_SMILES,Solvent_SMILES,yield
3,1,0,5.47
3,0,0,0.0
3,4,0,78.95
3,11,0,7.26
3,9,0,28.15
3,2,0,65.37
1,1,0,0.07
1,0,0,0.0
1,4,0,28.64
1,11,0,10.44
1,9,0,63.13
1,2,0,77.41
2,1,0,4.74
2,0,0,0.0
2,4,0,29.31
2,11,0,12.83
2,9,0,62.82
2,2,0,87.83
0,1,0,0.0
0,0,0,0.0
0,4,0,7.62
0,11,0,8.85
0,9,0,52.05
0,2,0,29.16
3,1,2,18.44
3,0,2,0.0
3,4,2,6.17
3,11,2,0.0
3,9,2,6.24
3,2,2,47.3
1,1,2,56.05
1,0,2,0.0
1,4,2,6.39
1,11,2,0.35
1,9,2,4.28
1,2,2,56.14
2,1,2,64.48
2,0,2,0.0
2,4,2,5.88
2,11,2,0.57
2,9,2,3.21
2,2,2,83.83
0,1,2,55.41
0,0,2,0.0
0,4,2,5.41
0,11,2,0.33
0,9,2,3.44
0,2,2,68.53
3,1,3,17.09
3,0,3,0.0
3,4,3,0.0
3,11,3,0.0
3,9,3,3.41
3,2,3,64.62
1,1,3,49.22
1,0,3,0.0
1,4,3,22.75
1,11,3,0.0
1,9,3,1.92
1,2,3,48.25
2,1,3,26.64
2,0,3,0.0
2,4,3,0.0
2,11,3,0.0
2,9,3,4.22
2,2,3,86.43
0,1,3,27.48
0,0,3,0.0
0,4,3,15.16
0,11,3,0.0
0,9,3,0.91
0,2,3,59.92
3,1,1,16.44
3,0,1,0.0
3,4,1,6.39
3,11,1,0.0
3,9,1,2.06
3,2,1,43.76
1,1,1,29.17
1,0,1,0.0
1,4,1,14.92
1,11,1,0.0
1,9,1,1.41
1,2,1,35.07
2,1,1,40.03
2,0,1,0.0
2,4,1,19.51
2,11,1,0.55
2,9,1,10.5
2,2,1,67.17
0,1,1,21.54
0,0,1,0.0
0,4,1,28.65
0,11,1,0.0
0,9,1,0.66
0,2,1,53.63
3,10,0,41.9
3,6,0,8.23
3,3,0,13.11
3,8,0,75.22
3,7,0,80.38
3,5,0,0.0
1,10,0,73.59
1,6,0,8.85
1,3,0,38.15
1,8,0,50.54
1,7,0,89.76
1,5,0,0.0
2,10,0,45.21
2,6,0,9.55
2,3,0,19.97
2,8,0,41.0
2,7,0,83.25
2,5,0,0.0
0,10,0,49.4
0,6,0,4.3
0,3,0,40.43
0,8,0,0.0
0,7,0,91.11
0,5,0,0.0
3,10,2,9.1
3,6,2,0.0
3,3,2,14.36
3,8,2,19.82
3,7,2,54.67
3,5,2,0.0
1,10,2,46.99
1,6,2,0.0
1,3,2,43.52
1,8,2,16.82
1,7,2,76.68
1,5,2,0.0
2,10,2,16.19
2,6,2,0.0
2,3,2,33.34
2,8,2,26.69
2,7,2,82.33
2,5,2,0.0
0,10,2,25.08
0,6,2,0.0
0,3,2,39.42
0,8,2,11.95
0,7,2,65.69
0,5,2,0.0
3,10,3,9.87
3,6,3,0.0
3,3,3,2.85
3,8,3,7.74
3,7,3,41.35
3,5,3,0.0
1,10,3,18.21
1,6,3,0.0
1,3,3,20.21
1,8,3,5.98
1,7,3,36.23
1,5,3,0.0
2,10,3,15.72
2,6,3,0.0
2,3,3,8.11
2,8,3,3.08
2,7,3,45.01
2,5,3,0.0
0,10,3,14.51
0,6,3,0.0
0,3,3,20.63
0,8,3,2.41
0,7,3,24.0
0,5,3,0.0
3,10,1,8.45
3,6,1,0.0
3,3,1,0.83
3,8,1,5.36
3,7,1,35.6
3,5,1,0.0
1,10,1,19.32
1,6,1,0.0
1,3,1,10.98
1,8,1,9.9
1,7,1,32.37
1,5,1,0.0
2,10,1,30.29
2,6,1,0.0
2,3,1,14.97
2,8,1,7.15
2,7,1,68.35
2,5,1,0.0
0,10,1,10.05
0,6,1,0.0
0,3,1,9.89
0,8,1,8.06
0,7,1,16.46
0,5,1,0.0
