Electrophile_SMILES,Nucleophile_SMILES,Ligand_SMILES,Base_SMILES,Solvent_SMILES,yield
1,0,3,6,2,4.76
1,0,8,6,2,4.12
1,0,0,6,2,2.58
1,0,9,6,2,4.44
1,0,5,6,2,1.95
1,0,6,6,2,3.25
1,0,7,6,2,86.26
1,0,1,6,2,7.55
1,0,2,6,2,93.67
1,0,10,6,2,14.32
1,0,4,6,2,2.11
1,0,3,3,2,3.16
1,0,8,3,2,4.75
1,0,0,3,2,2.46
1,0,9,3,2,5.27
1,0,5,3,2,1.96
1,0,6,3,2,3.35
1,0,7,3,2,69.22
1,0,1,3,2,5.1
1,0,2,3,2,83.19
1,0,10,3,2,13.68
1,0,4,3,2,1.82
1,0,3,4,2,1.79
1,0,8,4,2,4.36
1,0,0,4,2,2.71
1,0,9,4,2,6.49
1,0,5,4,2,2.1
1,0,6,4,2,3.32
1,0,7,4,2,68.44
1,0,1,4,2,5.84
1,0,2,4,2,73.02
1,0,10,4,2,13.2
1,0,4,4,2,2.1
1,0,3,2,2,3.0
1,0,8,2,2,4.73
1,0,0,2,2,2.58
1,0,9,2,2,5.83
1,0,5,2,2,1.88
1,0,6,2,2,3.69
1,0,7,2,2,53.34
1,0,1,2,2,5.8
1,0,2,2,2,60.67
1,0,10,2,2,14.39
1,0,4,2,2,2.27
1,0,3,5,2,5.6
1,0,8,5,2,4.82
1,0,0,5,2,2.49
1,0,9,5,2,6.46
1,0,5,5,2,2.06
1,0,6,5,2,3.22
1,0,7,5,2,78.42
1,0,1,5,2,8.94
1,0,2,5,2,92.22
1,0,10,5,2,14.22
1,0,4,5,2,2.35
1,0,3,0,2,7.08
1,0,8,0,2,5.45
1,0,0,0,2,1.99
1,0,9,0,2,6.08
1,0,5,0,2,2.45
1,0,6,0,2,3.57
1,0,7,0,2,85.77
1,0,1,0,2,9.78
1,0,2,0,2,92.83
1,0,10,0,2,15.41
1,0,4,0,2,2.43
1,0,3,1,2,7.82
1,0,8,1,2,6.14
1,0,0,1,2,2.13
1,0,9,1,2,5.05
1,0,5,1,2,1.98
1,0,6,1,2,4.47
1,0,7,1,2,78.96
1,0,1,1,2,7.0
1,0,2,1,2,90.3
1,0,10,1,2,15.36
1,0,4,1,2,2.51
1,0,3,6,0,33.79
1,0,8,6,0,8.08
1,0,0,6,0,61.2
1,0,9,6,0,69.94
1,0,5,6,0,7.2
1,0,6,6,0,79.47
1,0,7,6,0,87.06
1,0,1,6,0,12.7
1,0,2,6,0,88.97
1,0,10,6,0,27.93
1,0,4,6,0,6.11
